"蒋","ショウ, ソウ, まこも, はげ.ます","reed"
"蔑","ベツ, ないがしろ, なみ.する, くらい, さげす.む","ignore, despise, neglect, ridicule"
"轍","テツ, わだちい, わだち","rut, wheel track"
"醤","ショウ, ひしお","a kind of miso"
"惚","コツ, ほけ.る, ぼ.ける, ほ.れる","fall in love with, admire, grow senile"
"廣","コウ, ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる","broad, wide, spacious"
"藁","コウ, わら","straw"
"柚","ユ, ユウ, ジク, ゆず","citron"
"舛","ブ, セン, まい, そむ.く","dancing radical (no. 136)"
"縞","コウ, しま, しろぎぬ","stripe"
"謳","オウ, ウ, うた.う","extol, declare, express"
"杞","コ, キ","river willow"
"鱗","リン, うろこ, こけ, こけら","scales (fish)"
"繭","ケン, まゆ, きぬ","cocoon"
"釘","テイ, チョウ, くぎ","nail, tack, peg"
"弛","チ, シ, たる.む, たる.める, たゆ.む, ゆる.む, ゆる.み","slacken, relax"
"狸","リ, ライ, たぬき","tanuki, raccoon"
"壬","ニン, ジン, イ, みずのえ","9th calendar sign"
"硯","ケン, ゲン, すずり","inkstone"
"蝦","カ, ゲ, えび","shrimp, prawn, lobster"
